,DBA,BORO,BUILDING,STREET,CUISINE DESCRIPTION,Latitude,Longitude,SCORE,GRADE,RECORD DATE
168,NEIL'S COFFEE SHOP,Manhattan,961,LEXINGTON AVENUE,American,40.769008915795006,-73.963219175429,12.0,A,02/16/2020
268605,LA GRENOUILLE,Manhattan,3,EAST   52 STREET,French,40.759658161533,-73.97597743544401,12.0,A,02/16/2020
268008,LA CASA DEL POLLO AND PIZZA,Manhattan,4231,BROADWAY,Spanish,40.849261970953,-73.936715876899,10.0,A,02/16/2020
267996,LE GRAINNE CAFE,Manhattan,183,9 AVENUE,French,40.745360454403,-74.002161745447,12.0,A,02/16/2020
267993,K-BAP,Manhattan,62,W 56TH ST,Korean,40.763072720020006,-73.976358847219,13.0,A,02/16/2020
267806,DANTE,Manhattan,79-81,MACDOUGAL ST,Italian,40.72877111183,-74.001533409377,15.0,B,02/16/2020
267224,THE DISH RESTAURANT,Manhattan,201,8 AVENUE,American,40.743598337127,-73.999725729062,9.0,A,02/16/2020
266892,DIG INN SEASONAL MARKET,Manhattan,225,LIBERTY ST,American,40.711530166285,-74.015672785414,8.0,A,02/16/2020
266759,GRACIE-MEWS RESTAURANT,Manhattan,1550,1 AVENUE,American,40.773440241726,-73.951865457458,23.0,B,02/16/2020
266572,LAN SHENG RESTAURANT,Manhattan,128,W 36TH ST,Chinese,40.751623409968,-73.988168830744,27.0,B,02/16/2020
268840,BOCCA DI BACCO,Manhattan,635,NINTH AVENUE,Italian,40.760148919682,-73.991387188228,20.0,B,02/16/2020
266566,GRAND SICHUAN,Manhattan,229,9TH AVE,Chinese,40.747235144322,-74.000790376672,12.0,A,02/16/2020
266100,POCHA 32,Manhattan,15,WEST 32 STREET,Korean,40.747442915433,-73.986170169402,13.0,A,02/16/2020
265720,MOKJA,Manhattan,852,AMSTERDAM AVE,Korean,40.797627074754,-73.967764966215,12.0,A,02/16/2020
